UC1,UC2,UC3,UC4,IUC
57.500000,23.005442,27.506360,21.286483,40.716381
60.500000,18.352423,28.689203,20.103001,31.911157
58.500000,24.287263,27.861300,21.726493,41.562509
61.500000,21.144024,28.056609,21.043149,42.457297
57.000000,21.697163,27.868685,21.312102,40.312992
59.500000,22.913544,30.336300,21.903431,33.663319
55.000000,16.357390,25.852423,19.161318,29.092783
61.500000,26.608543,32.083901,22.926381,44.353137
60.500000,22.518420,29.982794,21.851717,33.713233
59.000000,23.531923,26.455123,21.989886,41.496155
60.500000,20.618260,30.288529,20.801450,33.052060
62.500000,29.338429,33.640230,23.734454,45.702186
60.500000,25.909095,32.710987,22.347302,43.744564
55.500000,27.313130,30.092266,22.368967,41.045727
57.500000,24.578312,25.719418,21.622265,40.736666
58.500000,21.106870,31.263510,21.240636,33.027754
60.000000,22.284054,31.375290,21.595294,33.813659
69.000000,25.252653,37.430270,24.133223,38.954036
62.500000,20.023090,30.990327,21.561361,33.768694
53.500000,18.335581,24.742302,19.188281,37.127694
58.500000,22.409392,27.823707,21.273944,41.167840
66.500000,33.111046,35.329853,24.798491,48.789898
58.000000,22.188140,31.127466,21.850575,33.291545
64.000000,27.939036,33.107050,23.861741,46.151305
61.000000,24.500359,28.653377,21.558608,42.952057
63.500000,27.018910,30.994883,22.964186,45.246330
58.500000,22.596629,29.426583,21.419670,41.490480
69.000000,28.715224,37.430710,24.671862,39.954449
65.000000,24.500979,30.481304,22.605372,45.431276
61.500000,24.342945,32.360712,21.758391,43.827008
50.000000,16.443596,24.209597,18.409440,27.265658
58.000000,24.413820,31.160319,21.809000,41.897190
59.000000,21.447020,27.023070,20.856623,41.054452
60.500000,19.901510,29.813668,20.831669,32.761712
64.000000,25.838990,33.788561,23.631915,36.814866
64.500000,24.982444,31.517432,22.372895,45.395462
62.500000,24.565355,28.138016,21.988208,43.698597
57.000000,22.094484,25.855796,20.719113,39.944899
55.500000,21.463082,28.144353,20.873665,39.496850
56.000000,20.118729,28.400923,20.556326,31.268994
59.000000,21.389087,26.983330,20.517619,40.981673
56.000000,18.463790,27.975414,20.216065,30.663817
59.500000,27.308611,30.997201,23.280899,43.347785
55.000000,18.353808,25.581462,19.370715,29.576496
58.500000,24.738067,29.794850,22.129696,42.027102
69.000000,32.638805,32.887857,24.527318,49.508997
56.500000,21.744161,28.886568,21.090602,40.203555
55.500000,23.591119,27.491859,20.955847,39.756471
61.500000,29.763337,32.898922,23.346555,45.084802
63.500000,22.953955,30.018023,22.265503,34.684370
58.500000,27.230848,32.008948,22.764508,42.917384
55.500000,25.251483,26.046713,21.577869,39.896011
66.000000,26.165458,36.216767,23.326851,37.927269
52.500000,21.076963,28.073925,20.887314,37.923034
62.000000,22.529855,29.571656,21.596562,43.283012
54.000000,23.755149,30.736281,22.535703,32.756783
62.500000,21.865922,31.522210,21.861939,34.437518
61.000000,19.568796,29.802347,21.066513,32.859414
58.500000,23.467230,29.708927,21.180161,41.642720
64.500000,27.376331,34.439950,23.575407,46.481948
55.000000,18.006490,25.153620,19.769338,29.482362
63.500000,26.106763,33.493273,23.146717,45.541125
55.000000,18.308912,26.861157,20.023055,30.048281
58.500000,20.585547,29.699126,21.069990,32.463666
63.500000,21.368148,29.634981,21.468329,33.992864
53.000000,21.800817,27.748456,20.782255,38.221921
58.500000,25.113621,29.368123,22.117458,42.016534
61.000000,23.132024,30.271970,22.059832,43.077304
62.000000,22.664324,31.223232,21.818142,34.426424
62.500000,23.343565,30.435547,21.974601,43.875619
58.000000,22.194572,26.821372,21.184689,40.700106
65.000000,24.392233,34.870994,23.364658,36.906971
63.500000,23.651081,29.494349,21.647412,44.215474
59.500000,24.154648,30.537695,22.287227,42.579928
61.000000,19.852858,27.836287,20.792163,32.370327
62.000000,22.656655,30.327219,21.408374,43.398708
60.500000,23.990925,32.438582,22.632777,34.890571
54.500000,20.162873,28.279219,20.876710,30.954701
59.500000,23.222711,27.848963,21.574508,41.857697
68.000000,25.147584,33.372965,22.625181,47.524288
60.500000,19.853232,32.919314,21.547563,33.705027
58.500000,18.966523,27.133134,20.684919,31.321144
60.000000,24.327676,27.872214,21.582877,42.297128
57.500000,24.638527,28.767855,21.843940,41.291720
61.000000,26.681435,33.312422,22.890845,44.314117
60.500000,23.251786,30.156385,21.696802,42.767496
50.500000,17.093258,26.709694,19.085983,28.347234
63.000000,20.599544,31.334610,21.101775,34.008982
57.500000,20.841919,27.984166,21.034287,40.393395
62.000000,25.405911,28.054480,22.243347,43.617290
65.000000,22.569378,33.091670,21.954979,35.654007
64.000000,28.415999,32.591056,23.194609,46.033611
59.000000,18.386237,26.003213,20.098644,30.872023
61.500000,23.036667,31.102477,21.638942,43.379681
60.500000,25.492102,33.428595,22.782761,43.867243
58.500000,19.765128,26.299440,20.108058,40.278771
67.000000,27.895876,34.050385,24.009179,47.825907
61.000000,23.967359,29.529019,21.790620,43.047833
57.500000,24.876997,28.065464,21.527056,41.161586
56.500000,21.382677,28.815151,21.034702,31.933132
58.500000,19.836257,28.545099,20.440171,31.830381
57.500000,20.330585,29.840086,21.146498,32.204292
59.500000,21.089014,30.257478,21.138271,32.996191
64.500000,23.695601,28.146741,21.657812,44.500026
55.000000,19.311769,26.814626,20.637283,30.440919
65.000000,25.831678,30.043094,22.944704,45.636579
59.000000,18.688806,28.937925,20.223241,31.712493
53.000000,19.376569,27.866640,20.135873,30.094771
62.000000,22.881674,30.896627,21.538632,43.552822
61.000000,24.854096,30.756781,22.056205,43.444514
56.500000,21.295292,28.165150,21.000192,39.993439
60.000000,22.456240,28.006614,21.551256,42.002352
58.000000,22.215946,29.192754,21.515080,41.153963
59.500000,26.398727,35.992321,22.875321,43.961061
57.000000,19.513297,26.042084,20.039806,39.432531
59.500000,26.301470,30.446904,22.627732,42.979351
65.500000,25.923976,32.227221,22.795876,46.241179
62.000000,22.643014,28.381377,21.042573,43.011161
58.500000,27.477988,30.821806,22.660617,42.743402
62.000000,28.286376,32.580218,22.852703,44.953216
54.500000,18.363180,27.490186,20.041918,30.098821
57.000000,22.692076,28.333492,21.550913,40.596080
60.500000,19.992617,29.275431,20.989604,32.689413
58.500000,20.379914,29.281840,20.750549,32.228076
54.000000,21.042947,24.677992,19.754976,37.912653
64.000000,25.173498,30.555829,22.661127,45.065076
64.000000,23.616525,31.755207,22.231440,44.933862
57.000000,20.614646,29.458742,20.898352,31.992935
54.000000,19.279193,25.804521,19.807558,37.815212
55.500000,21.684805,29.942956,21.196729,39.887415
59.500000,26.008489,30.162908,22.717803,42.898200
58.000000,21.582166,28.727323,21.154863,40.910725
54.000000,19.335731,28.231271,20.425841,30.498211
58.500000,21.702868,24.763445,20.656685,40.437166
58.000000,24.388238,28.679249,21.563417,41.438484
56.500000,20.341820,25.481401,20.314984,39.273034
66.000000,23.508327,32.198893,22.143561,35.962695
60.000000,19.479471,28.561542,20.842486,32.220875
60.000000,24.715327,26.462324,21.503080,42.113455
57.500000,23.555958,28.919097,21.483567,41.076437
62.500000,22.314808,30.377250,21.875573,34.266908
58.000000,20.702339,24.544604,19.785574,39.838753
64.500000,30.104304,34.658199,24.339320,47.100304
61.500000,17.894787,27.438130,19.714087,31.636751
56.000000,16.641804,25.064682,19.147899,29.213596
57.500000,20.627247,28.056463,20.718086,40.316966
61.500000,27.239594,31.586838,23.003810,44.388374
51.000000,17.505342,24.691182,19.047211,28.060934
54.500000,18.371826,28.472642,19.870542,30.303753
64.000000,24.771499,30.472446,21.816479,44.843404
62.500000,24.812284,30.398429,21.791515,44.083705
68.500000,27.384448,34.958825,23.751371,48.599107
60.500000,23.837445,28.783819,22.139459,42.710121
58.500000,21.911605,27.145336,20.976066,40.922168
64.000000,24.882146,31.042337,22.515094,45.073263
55.500000,22.862068,28.098275,21.144817,39.767527
61.500000,27.510208,28.780865,23.233698,44.004129
59.000000,22.011161,27.335033,21.215050,41.260207
58.000000,21.969770,29.729955,21.777051,32.869194
59.000000,23.533652,27.079770,21.464477,41.512983
67.000000,27.307583,32.823286,23.820156,47.491837
64.500000,20.893794,32.378788,21.644647,34.854307
62.000000,25.686286,30.368166,22.207019,44.043579
61.500000,23.768592,31.853834,22.555445,34.919468
56.500000,21.067453,27.646775,21.111335,39.887594
63.500000,27.011068,34.595365,23.818130,45.987427
56.500000,22.560872,29.224156,21.399491,40.447420
67.500000,24.094104,34.172867,22.831833,37.149701
58.500000,21.631307,27.876711,21.261433,41.044908
59.000000,22.382082,30.181177,21.645132,41.868065
63.000000,25.586892,29.584739,21.980260,44.358649
66.000000,20.676684,30.360308,21.748429,34.696355
62.500000,28.333538,31.627127,23.732727,45.198899
62.500000,23.582729,30.582371,22.172692,43.972965
55.000000,22.716534,28.501241,20.789992,39.501295
62.000000,28.151817,32.849355,22.842415,44.973931
59.000000,24.570102,31.291598,22.094587,42.492715
57.500000,19.882604,25.890568,20.301733,39.762484
60.500000,19.301772,25.995211,20.355363,31.538087
64.500000,25.743502,31.134281,23.028801,45.567764
58.000000,24.603603,26.878947,21.497893,41.163407
60.000000,23.710592,29.553485,21.745746,42.501637
60.000000,23.274894,30.033227,22.034568,42.557115
55.500000,18.782342,26.079612,19.833876,30.048957
58.500000,26.059283,31.668484,22.733706,42.660246
57.500000,22.645894,28.753700,21.267634,40.861205
63.000000,19.601894,28.448551,20.925869,32.994079
59.500000,17.695039,28.797051,19.611436,31.400881
58.500000,22.381205,31.120332,21.602574,41.767352
63.500000,23.783172,30.005744,22.371221,44.443356
58.500000,24.447515,27.373089,21.585046,41.484275
