White noise,Positive bias,Negative bias
22.477191,21.601629,23.638722
22.504718,21.668423,23.726794
22.594749,21.431914,23.556710
22.647066,21.587921,23.768523
22.576487,21.523467,23.626674
22.526329,21.548569,23.607205
22.497397,21.482869,23.614070
22.451713,21.595018,23.618637
22.562993,21.583190,23.724293
22.589949,21.590284,23.724897
22.676671,21.517611,23.721245
22.710006,21.472726,23.636426
22.527730,21.572156,23.668993
22.601143,21.447484,23.821808
22.619025,21.480458,23.703880
22.616455,21.428019,23.690544
22.494309,21.548483,23.653353
22.614954,21.392216,23.827054
22.557825,21.530816,23.723946
22.487976,21.512575,23.531485
22.551423,21.498943,23.652126
22.517390,21.429845,23.624903
22.602537,21.463878,23.650550
22.538001,21.537353,23.767960
22.546103,21.572925,23.749528
22.614112,21.446108,23.740477
22.507824,21.518107,23.798436
22.592959,21.445800,23.700084
22.526881,21.459702,23.642958
22.663258,21.505811,23.727049
22.546374,21.546610,23.715038
22.515183,21.400493,23.729694
22.629488,21.435562,23.775728
22.478074,21.593204,23.801643
22.547748,21.452673,23.634932
22.585968,21.484523,23.750229
22.589482,21.480831,23.679530
22.555291,21.509921,23.631848
22.553444,21.529057,23.703054
22.586363,21.487818,23.709500
22.541014,21.518700,23.641415
22.582497,21.470840,23.640180
22.588718,21.565422,23.690868
22.585581,21.545988,23.681957
22.584163,21.521491,23.578046
22.591453,21.522200,23.651945
22.618606,21.603897,23.602276
22.604874,21.577756,23.773580
22.673534,21.525306,23.648433
22.642585,21.536820,23.705474
22.583765,21.514129,23.733757
22.573638,21.520888,23.576580
22.461354,21.606070,23.639264
22.662673,21.442339,23.647493
22.561216,21.558051,23.667305
22.621304,21.610354,23.709620
22.505429,21.632030,23.696141
22.616751,21.489304,23.825973
22.585284,21.461510,23.715805
22.515182,21.424094,23.741298
22.569303,21.558599,23.832420
22.563341,21.604193,23.652845
22.583667,21.577504,23.669534
22.501570,21.568445,23.762313
22.537730,21.495486,23.633598
22.643692,21.558740,23.544787
22.600515,21.515054,23.668804
22.549749,21.521069,23.733097
22.514489,21.459688,23.681277
22.628533,21.412069,23.758903
22.555957,21.500180,23.614704
22.647694,21.525586,23.632007
22.525769,21.626379,23.604393
22.598993,21.503578,23.716870
22.508259,21.431505,23.698855
22.631371,21.462782,23.679409
22.509869,21.587004,23.508692
22.614493,21.551669,23.710539
22.690306,21.623960,23.691261
22.563563,21.534470,23.547052
22.583920,21.447557,23.680781
