UC1,UC2,UC3,UC4,IUC
56.000000,20.761758,28.274856,21.229079,39.710949
53.000000,19.828544,27.496222,20.192230,37.752833
60.500000,23.763732,31.615392,22.227891,43.184503
58.500000,22.301783,28.218136,21.116128,41.189341
52.500000,24.108813,27.679547,21.286454,38.429136
52.500000,20.992908,27.057718,20.204485,37.625852
67.000000,30.880220,35.323013,24.017010,48.536707
57.000000,20.315321,28.428262,20.272518,40.002683
60.000000,24.339019,32.101697,22.476348,43.152844
55.000000,20.599957,27.534705,20.519307,38.942328
60.500000,28.930199,29.470027,22.288029,43.698042
59.000000,22.518370,29.624688,21.387930,41.755165
60.000000,25.152334,29.401343,22.431410,42.830848
57.500000,20.502675,27.223243,21.034393,40.210052
55.000000,19.961095,28.197982,20.332697,38.915296
55.000000,23.658308,29.188361,21.355990,39.867110
55.500000,25.151991,27.946018,21.677657,40.212611
64.000000,25.849067,33.821454,23.317901,45.831404
55.500000,21.741596,26.647320,20.685284,39.262367
54.000000,18.141196,25.337432,19.596318,37.512491
60.500000,27.662304,29.295573,22.062942,43.420137
59.000000,22.599257,28.916460,21.400645,41.652727
55.500000,22.186813,28.004335,20.681846,39.562166
62.000000,23.783531,30.676071,21.941976,43.733596
57.000000,21.854023,30.866467,21.798875,40.919894
62.000000,25.802436,33.024131,23.053321,44.646648
57.500000,21.318195,28.785241,20.647416,40.541809
58.500000,25.695014,28.068194,22.007926,41.878522
59.500000,28.849672,34.100577,23.498127,44.158063
60.500000,25.807336,31.571625,22.349035,43.537999
57.500000,18.986694,27.448990,20.194556,39.855040
57.000000,28.704888,29.048133,22.595347,41.891395
60.500000,22.428889,32.563494,21.948558,43.073490
58.000000,24.220578,28.323793,21.728808,41.378863
53.000000,24.677196,29.273553,21.704650,39.109233
58.500000,27.787336,34.410828,23.556144,43.542385
58.500000,28.968955,33.475017,23.616773,43.593458
56.500000,24.564208,27.775805,21.591783,40.571966
59.000000,24.439787,31.092856,22.123404,42.442675
57.500000,27.793711,31.665836,22.747946,42.451249
52.000000,18.957285,28.132945,20.208574,37.216467
58.000000,19.792339,28.344669,20.578806,40.452636
55.500000,27.947366,30.373935,22.857688,41.279831
59.000000,29.068052,32.762212,23.252265,43.680421
58.000000,21.282245,27.836751,20.500636,40.603272
64.000000,21.135855,30.826515,21.709431,34.417950
58.500000,21.826290,26.562821,21.010500,40.816602
58.500000,21.629193,28.637861,20.807615,41.095778
59.000000,21.895166,28.650701,20.875777,41.403607
57.000000,25.179243,30.728601,22.089729,41.499595
57.000000,24.113136,26.101023,21.080167,40.382388
60.500000,21.284369,28.430764,21.058317,42.045575
60.500000,19.735273,26.485615,20.628161,41.391508
55.500000,27.940430,31.976877,22.697092,41.519067
62.500000,20.143134,28.235747,20.304606,42.697248
61.500000,21.413713,29.150982,21.331354,42.732675
57.500000,24.450522,28.785237,21.712176,41.241323
64.500000,34.961450,36.037361,24.775005,48.212303
58.000000,21.827922,32.297515,21.753735,41.646529
54.500000,18.678074,27.514856,19.906606,38.266589
55.500000,21.501856,30.124329,21.334135,39.910053
51.000000,18.216811,26.386770,19.472103,36.179281
54.000000,22.322969,31.131368,21.763785,39.536354
55.000000,20.795458,26.138103,19.975155,38.651453
55.500000,23.985408,26.140651,21.188035,39.635682
54.500000,19.506663,26.341996,20.157821,38.251080
55.500000,18.014983,28.438661,20.332174,30.571455
60.000000,24.661532,29.644872,22.200534,42.751156
59.500000,25.326632,31.432756,22.596691,42.976013
60.000000,27.312005,31.134799,22.674591,43.520233
62.500000,22.165748,28.279384,21.034967,43.163350
63.000000,25.497143,30.220877,22.462294,44.530052
57.000000,21.012213,28.384492,20.607330,40.167339
54.500000,22.058810,30.732964,21.089294,39.563511
47.500000,19.210906,24.121952,19.144582,34.162907
55.500000,23.617550,31.243457,21.957190,40.553033
60.500000,25.113104,32.737512,22.779702,43.688386
53.000000,21.169439,26.306646,20.424044,37.816688
65.000000,23.379004,29.819673,22.025759,45.037406
59.500000,21.620196,31.688300,21.403652,42.202025
53.000000,23.684918,28.655852,21.188128,38.754816
59.000000,22.152791,29.507943,20.939661,41.600066
50.000000,20.849763,24.605631,19.694948,35.858390
58.000000,20.582239,32.161645,21.525005,33.067222
52.500000,21.409096,26.553521,20.379854,37.640412
55.000000,19.792274,27.905059,20.332262,38.838266
65.000000,24.523621,31.761195,22.127787,45.568767
58.000000,19.865358,27.642036,20.536884,40.340713
55.500000,27.041607,34.049551,23.413848,41.834168
56.500000,23.221488,30.564014,21.084974,40.728413
59.000000,28.677683,30.902567,22.737491,43.219624
57.500000,22.457329,26.538394,20.700852,40.366096
52.500000,19.150515,26.678980,19.853249,37.197124
57.000000,24.556134,28.837272,21.792685,41.031015
52.500000,20.815187,26.070408,20.213048,37.433107
58.500000,21.146773,28.639493,21.117431,41.067283
57.500000,27.956247,30.253630,22.546022,42.209316
49.500000,17.300331,25.238764,19.046704,35.014300
54.500000,25.466291,24.572439,21.098334,39.106177
60.500000,25.610761,31.543466,22.698017,43.558707
58.000000,26.381395,29.534890,22.552750,42.078173
58.000000,18.648522,26.956579,20.147970,39.958845
55.500000,23.178166,30.678817,21.586218,40.323867
54.000000,17.832684,26.975772,19.447334,37.709298
61.500000,22.543380,27.831357,21.348138,42.703812
55.500000,23.099026,31.237436,21.611040,40.407917
50.500000,20.976499,25.309004,20.017657,36.300527
59.500000,27.481718,33.926363,23.370787,43.879811
61.500000,20.320214,28.358202,20.864766,42.340530
59.000000,20.936745,27.129160,20.880200,40.991017
55.500000,20.405020,29.296493,20.615561,39.469512
57.000000,21.007052,31.450994,21.507764,32.741453
56.500000,19.033343,27.822546,20.206844,39.427122
61.500000,23.638316,30.845379,22.323928,43.551271
55.000000,22.524373,28.511706,20.896992,39.488845
59.000000,23.088052,28.295428,21.745673,41.688192
50.000000,19.391814,26.441602,19.702554,35.922662
64.000000,27.981051,30.979860,22.975786,45.656116
55.500000,23.644590,28.642617,21.340805,40.021335
60.000000,23.115549,28.036773,21.082955,42.039213
62.000000,23.339942,31.558262,22.858165,43.959395
52.500000,20.655580,27.889705,20.013103,37.676398
58.000000,18.596856,27.578930,20.336828,31.128154
52.500000,24.158817,27.036203,21.187390,38.313735
60.000000,24.258936,30.566339,22.393727,42.869833
53.500000,23.041830,25.568519,20.663963,38.295719
60.500000,24.445727,28.948342,21.619317,42.752231
62.500000,26.410554,34.120081,23.990186,45.336804
61.500000,22.802899,32.284230,22.568383,43.692585
58.500000,22.769017,31.307873,22.328099,41.984165
53.500000,23.716334,28.583247,20.810605,38.935031
